nutrient_id,nutrient_name
1002,nitrogen
1003,protein
1004,fat
1005,carbohydrates
1007,ash
1008,calories
1009,starch
1010,sucrose
1011,glucose
1012,fructose
1013,lactose
1014,maltose
1018,alcohol
1024,specific_gravity
1026,acetic_acid
1032,citric_acid
1038,lactic_acid
1039,malic_acid
1051,moisture
1057,caffeine
1058,theobromine
1063,total_sugar
1075,galactose
1079,total_dietary_fiber
1082,soluble_fiber
1084,insoluble_fiber
1085,total_conj_fa
1087,calcium
1089,iron
1090,magnesium
1091,phosphorus
1092,potassium
1093,sodium
1095,zinc
1098,copper
1100,iodine
1101,manganese
1103,selenium
1104,vitamin_a
1105,retinol
1107,beta_carotene
1108,alpha_carotene
1109,alpha_tocopherol
1110,vitamin_d
1111,vitamin_d2
1112,vitamin_d3
1113,vitamin_d3_25_hydroxy
1116,phytoene
1117,phytofluene
1119,zeaxanthin
1120,cryptoxanthin
1121,lutein
1122,lycopene
1123,lutein_zeaxanthin
1125,beta_tocopherol
1126,gamma_tocopherol
1127,delta_tocopherol
1128,alpha_tocotrienol
1129,beta_tocotrienol
1130,beta_tocotrienol
1131,delta_tocotrienol
1158,vitamin_e
1159,cis_beta_carotene
1160,cis_lycopene
1161,cis_lutein_zeaxanthin
1162,vitamin_c
1165,thiamine
1166,riboflavin
1167,niacin
1170,panthothenic_acid
1175,vitamin_b6
1176,biotin
1177,folate
1178,vitamin_b12
1180,total_choline
1183,menaquinone_4
1184,dihydrophylloquinone
1185,phylloquinone
1188,5mthf
1191,10_hco_fa
1192,5_hco_h4
1194,choline
1195,pc
1196,pcho
1197,gpc
1198,betaine
1199,am
1210,tryptophane
1211,threonine
1212,isoleucine
1213,leucine
1214,lysine
1215,methionine
1216,cystine
1217,phenylalanine
1218,tyrosine
1219,valine
1220,arginine
1221,histidine
1222,alanine
1223,aspartic_acid
1224,glutamic_acid
1225,glycine
1226,proline
1227,serine
1228,hydroxyproline
1232,cysteine
1253,cholesterol
1257,trans_fat
1258,saturated_fat
1259,butyric_acid
1260,caproic_acid
1261,caprylic_acid
1262,capric_acid
1263,lauric_acid
1264,myristic_acid
1265,palmitic_acid
1266,stearic_acid
1267,arachidic_acid
1268,oleic_acid
1269,linoleic_acid
1270,alpha_linolenic_acid
1271,arachidonic_acid
1272,docosahexaenoic_acid
1273,behenic_acid
1274,myristoleic_acid
1275,palmitoleic_acid
1276,parinaric_acid
1277,eicosenoic_gadoleic_acid
1278,ecosapentenoic_acid
1279,erucic_acid
1280,docosapentaenoic_acid
1281,trans_tetradecenoic
1285,stigmaterol
1286,campesterol
1287,brassicasterol
1288,beta_sitoserol
1289,campestanol
1292,monounsaturated_fat
1293,polyunsaturated_fat
1294,sitostanol
1296,delta_5_avenasterol
1299,pentadecanoic_acid
1300,heptadecanoic_margaric_acid
1301,tetracosanoic_lignoceric_acid
1303,trans_hexadecenoic
1304,elaidic
1305,trans_docosaenoic
1306,trans_octadecadienoic
1310,linoelaidic
1311,conjugated_linoleic_acid
1312,tetracosaenoic_nervonic
1313,eicosadienoic
1314,hexadecenoic_palmitoleic
1315,oleic
1316,octadecadienoic_linoleic
1317,docosaenoic
1321,gamma_linolenic
1323,heptadecenoic_acid
1325,eicosatrienoic_acid
1332,tridecanoic_acid
1333,pentadecenoic_acid
1334,docosadienoic_acid
1335,undecylic_acid
1404,octadecatrienoic_linolenic
1405,eicosatrienoic_omega3
1406,eicosatrienoic_omega6
1408,eicosatetraenoic_omega6
1409,total_18_3_trans
1410,heneicosapentaenoic
1411,docosatetraenoic
1412,18_1_11t
1414,eicosatrienoic
2003,pentanoic_valeric
2004,heptanoic_enanthic
2005,nonanoic_pelargonic
2006,heneicosanoic
2007,tricosylic_acid
2009,tetradecenoic_myristoleic
2012,Eicosenoic
2013,trans_eicosenoic
2014,docosaenoic_erucic
2015,cetoleic
2019,trans_octadecatrienoic
2021,docosatrienoic
2028,trans_beta carotene
2029,trans_lycopene
